Website,http,https
domainreg.btcl.com.bd,<Response [200]>,not reachable
www.btcl.com.bd,<Response [200]>,not reachable
bdia.btcl.com.bd,<Response [200]>,<Response [200]>
www.101domain.com/com_bd.htm,<Response [200]>,<Response [200]>
www.daraz.com.bd,<Response [200]>,<Response [200]>
pavilion.com.bd,<Response [200]>,<Response [200]>
www.ittefaq.com.bd,<Response [200]>,<Response [200]>
www.penguin.com.bd,<Response [200]>,<Response [200]>
medex.com.bd,<Response [200]>,<Response [200]>
www.buytickets.com.bd,<Response [200]>,<Response [200]>
en.wikipedia.org/wiki/.bd,<Response [200]>,<Response [200]>
magicbauliana.com.bd,<Response [200]>,not reachable
www.electronics.com.bd,<Response [200]>,<Response [200]>
evaly.com.bd,<Response [200]>,<Response [200]>
www.foodpanda.com.bd,<Response [200]>,<Response [200]>
catseye.com.bd,<Response [200]>,<Response [200]>
carnival.com.bd,<Response [500]>,<Response [200]>
shopup.com.bd,<Response [200]>,<Response [200]>
www.careerjet.com.bd,<Response [200]>,<Response [200]>
www.facebook.com/evaly.com.bd,<Response [200]>,<Response [200]>
brebhr.teletalk.com.bd/apply.php,<Response [200]>,not reachable
bscic.teletalk.com.bd/apply.php,<Response [200]>,not reachable
nagad.com.bd,<Response [200]>,<Response [200]>
www.breakingnews.com.bd,<Response [200]>,<Response [200]>
impex.com.bd,<Response [200]>,<Response [200]>
amberit.com.bd,<Response [200]>,not reachable
www.dse.com.bd,<Response [200]>,not reachable
ksrm.com.bd,<Response [200]>,not reachable
www.startech.com.bd,<Response [200]>,<Response [200]>
repto.com.bd,<Response [200]>,<Response [200]>
guardianlife.com.bd,<Response [200]>,<Response [200]>
multimediakingdom.com.bd,<Response [200]>,<Response [200]>
www.southeastbank.com.bd,not reachable,not reachable
www.rangs.com.bd,<Response [200]>,not reachable
maya.com.bd,not reachable,<Response [200]>
www.kablewala.com.bd,<Response [200]>,<Response [200]>
www.cse.com.bd,<Response [200]>,<Response [200]>
techplatoon.com.bd,<Response [200]>,<Response [200]>
globalbrand.com.bd,<Response [200]>,<Response [200]>
www.nestle.com.bd,<Response [200]>,<Response [200]>
hawker.com.bd,<Response [200]>,not reachable
www.isho.com.bd,<Response [200]>,<Response [200]>
easy.com.bd,<Response [200]>,<Response [200]>
softexpo.com.bd,<Response [200]>,<Response [200]>
www.mentors.com.bd,<Response [200]>,<Response [200]>
www.iab.com.bd,<Response [200]>,not reachable
consumer.huawei.com,<Response [200]>,<Response [200]>
www.robi.com.bd,<Response [200]>,<Response [200]>
www.cdbl.com.bd,<Response [200]>,<Response [200]>
www.onebank.com.bd,not reachable,not reachable
bani.com.bd,<Response [200]>,<Response [200]>
techtunes.com.bd,<Response [200]>,<Response [200]>
www.sc.com,<Response [200]>,<Response [200]>
agc.com.bd,<Response [200]>,not reachable
www.bgmea.com.bd,<Response [200]>,<Response [200]>
www.gsmarena.com.bd,<Response [200]>,<Response [200]>
www.ipay.com.bd,<Response [200]>,<Response [200]>
www.paperfly.com.bd,<Response [406]>,<Response [406]>
www.united.com.bd,<Response [406]>,not reachable
www.dmoney.com.bd,<Response [200]>,<Response [200]>
mcc.com.bd,<Response [200]>,<Response [200]>
ib.dhakabank.com.bd,not reachable,<Response [200]>
www.ucb.com.bd,<Response [200]>,<Response [200]>
www.gphispat.com.bd,<Response [200]>,not reachable
www.easyfashion.com.bd,<Response [404]>,<Response [404]>
www.egcb.com.bd,<Response [200]>,<Response [200]>
ecourier.com.bd,<Response [200]>,<Response [200]>
www.tigercricket.com.bd,<Response [200]>,not reachable
www.metlife.com.bd,<Response [200]>,<Response [200]>
busbd.com.bd,<Response [200]>,not reachable
gameon.com.bd,<Response [200]>,not reachable
www.shavershop.com.bd,<Response [200]>,<Response [200]>
